Description,Incident#,Location,Agency,Date
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050067156,2100 BLOCK BISCAYNE BLVD,Miami Police,9-5-2019 8:26 PM
ASSAULT,PD190909323873,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-5-2019 8:15 PM
VANDALISM,PD190905319043,900 BLOCK NW 81ST ST,Miami-Dade Police,9-5-2019 8:15 PM
GRAND THEFT - FROM MOTOR VEHICLE - $300 TO LESS THAN $5000,1909050067154,1700 BLOCK BISCAYNE BLVD,Miami Police,9-5-2019 8:09 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050067149,N MIAMI AV / NE 41ST ST,Miami Police,9-5-2019 8:00 PM
SIMPLE BATTERY,1909050067150,1900 BLOCK NW 7TH ST,Miami Police,9-5-2019 7:47 PM
FRAUDULENTLY USING PERSONEL IDENTIFICATION,1909050067135,3000 BLOCK NW 22ND AV,Miami Police,9-5-2019 7:40 PM
BURGLARY - RESIDENCE,1909050067139,1400 BLOCK NW 69TH TER,Miami Police,9-5-2019 7:28 PM
BANK FRAUD- KNOWINGLY (OR ATT.) TO EXECUTE A SCHEME TO DEFRAUD FINANCIAL INST.,1909050067158,800 BLOCK NW 37TH AVE,Miami Police,9-5-2019 7:18 PM
DRUGS/ALCOHOL VIOLATIONS,PD190905318920,7100 BLOCK SW 12TH ST,Miami-Dade Police,9-5-2019 7:18 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909050067129,3300 BLOCK W FLAGLER ST,Miami Police,9-5-2019 7:14 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909050067129,3300 BLOCK W FLAGLER ST,Miami Police,9-5-2019 7:14 PM
ASSAULT,PD190905318892,8300 BLOCK NW 27TH AVE,Miami-Dade Police,9-5-2019 6:48 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050067141,N MIAMI AV / NW 6TH ST,Miami Police,9-5-2019 6:39 PM
ORGANIZED FRAUD: ENGAGES IN SCHEME - COMMUNICATES WITH VICTIM - $300 OR MORE,1909050067114,1500 BLOCK NW 16TH AV,Miami Police,9-5-2019 6:34 PM
FRAUD,PD190905318983,7100 BLOCK NW 16TH AVE,Miami-Dade Police,9-5-2019 6:34 PM
THEFT - OF MOTOR VEHICLE PARTS,1909050067110,2000 BLOCK NW 1 CT,Miami Police,9-5-2019 6:26 PM
THEFT - OF MOTOR VEHICLE PARTS,1909050067099,5700 BLOCK NW 2ND AV,Miami Police,9-5-2019 6:09 PM
THEFT - OF MOTOR VEHICLE PARTS,1909050067093,1500 BLOCK SW 7TH ST,Miami Police,9-5-2019 5:48 PM
FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,1909050067083,3200 BLOCK NW 18TH ST,Miami Police,9-5-2019 5:19 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050067085,6700 BLOCK NW 3RD AV,Miami Police,9-5-2019 5:01 PM
VEHICLE BREAK-IN/THEFT,PD190906319727,3100 BLOCK NW 54TH ST,Miami-Dade Police,9-5-2019 5:00 PM
CRIMINAL MISCHIEF / VANDALISM,1909050067092,NE 1ST AV / NE 6TH ST,Miami Police,9-5-2019 4:59 PM
THEFT - ALL OTHER,1909050067084,200 BLOCK NE 18TH ST,Miami Police,9-5-2019 4:53 PM
PETIT THEFT - PURSE SNATCH / $100 TO LESS THAN $300,1909050067073,1900 BLOCK SW 8TH ST,Miami Police,9-5-2019 4:39 PM
RETAIL THEFT,1909050067077,3400 BLOCK N MIAMI AV,Miami Police,9-5-2019 4:34 PM
"TELEPH/TELEG LAWFUL CHARGES/UNLAWFUL TO AVOID - $20,000 TO LESS THAN $100,000",1909050067074,800 BLOCK BRICKELL BAY DR,Miami Police,9-5-2019 4:26 PM
BURGLARY - OTHER STRUCTURE,1909050067067,1400 BLOCK W FLAGLER ST,Miami Police,9-5-2019 3:44 PM
BURGLARY - OTHER STRUCTURE,1909050067067,1400 BLOCK W FLAGLER ST,Miami Police,9-5-2019 3:44 PM
SIMPLE BATTERY,1909050067066,1200 BLOCK NW 54TH ST,Miami Police,9-5-2019 3:25 PM
THEFT - OF MOTOR VEHICLE PARTS,1909050067049,1900 BLOCK SW 1ST ST,Miami Police,9-5-2019 3:23 PM
FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,1909050067045,2700 BLOCK SW 11TH STREET,Miami Police,9-5-2019 3:10 PM
BURGLARY - RESIDENCE,1909050067055,100 BLOCK NE 44TH ST,Miami Police,9-5-2019 3:00 PM
FRAUD USE OF CREDIT CARDS: 2 TIMES OR LESS IN 6 MOS: OR LESS THAN $100,1909050067046,2300 BLOCK NE 2ND AV,Miami Police,9-5-2019 2:51 PM
THEFT/LARCENY,PD190905318881,3300 BLOCK NW 32ND AVE,Miami-Dade Police,9-5-2019 2:45 PM
BURGLARY - OTHER STRUCTURE,1909050067041,1000 BLOCK NW 54TH ST,Miami Police,9-5-2019 2:43 PM
VEHICLE BREAK-IN/THEFT,PD190905318637,3600 BLOCK NW S RIVER DR,Miami-Dade Police,9-5-2019 2:20 PM
FRAUDULENTLY USING PERSONEL IDENTIFICATION,1909050067031,3600 BLOCK SW 20TH ST,Miami Police,9-5-2019 2:14 PM
ASSAULT,PD190905318498,2900 BLOCK NW 48TH ST,Miami-Dade Police,9-5-2019 1:37 PM
VANDALISM,PD190909323165,1400 BLOCK N CRUISE BLVD,Miami-Dade Police,9-5-2019 1:17 PM
THEFT/LARCENY,PD190905318502,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-5-2019 1:02 PM
ROBBERY BY SUDDEN SNATCHING - ARMED,1909050067017,1000 BLOCK W FLAGLER ST,Miami Police,9-5-2019 12:59 PM
ASSAULT,PD190905318440,700 BLOCK NW 81ST ST,Miami-Dade Police,9-5-2019 12:53 PM
THEFT OF BICYCLE,1909050067015,7000 BLOCK NW 15TH AV,Miami Police,9-5-2019 12:28 PM
THEFT OF AUTO TAG / REGISTRATION DECAL,19006222,1400 BLOCK GALIANO ST,Coral Gables Police,9-5-2019 12:18 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050067008,5500 BLOCK NW 5TH CT,Miami Police,9-5-2019 12:14 PM
MOTOR VEHICLE THEFT,PD190918335376,7400 BLOCK NW 7TH ST,Miami-Dade Police,9-5-2019 12:00 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050067004,2000 BLOCK NW 6TH PL,Miami Police,9-5-2019 11:53 AM
BURGLARY,PD190905318370,00 BLOCK NORTHWEST BLVD,Miami-Dade Police,9-5-2019 11:44 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050067000,5100 BLOCK NW 2ND AV,Miami Police,9-5-2019 11:29 AM
DRUGS/ALCOHOL VIOLATIONS,PD190905318330,2700 BLOCK NW 41ST ST,Miami-Dade Police,9-5-2019 11:11 AM
VEHICLE BREAK-IN/THEFT,PD190905318354,3500 BLOCK NW 60TH ST,Miami-Dade Police,9-5-2019 11:00 AM
THEFT - OF MOTOR VEHICLE PARTS,1909050066988,7600 BLOCK NE 2ND CT,Miami Police,9-5-2019 10:50 AM
PETIT THEFT,1909050066981,3600 BLOCK NW 7TH AV,Miami Police,9-5-2019 10:33 AM
BURGLARY - OTHER STRUCTURE,1909050066992,2000 BLOCK NW 21ST AV,Miami Police,9-5-2019 10:16 AM
AUTO THEFT,1909050066991,6400 BLOCK SW 4TH ST,Miami Police,9-5-2019 10:14 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050066976,200 BLOCK SW 64TH CT,Miami Police,9-5-2019 10:12 AM
ASSAULT,PD190905318246,2500 BLOCK NW 80TH ST,Miami-Dade Police,9-5-2019 10:02 AM
THEFT - ALL OTHER,1909050066989,2000 BLOCK NW 23RD ST,Miami Police,9-5-2019 9:58 AM
CRIMINAL MISCHIEF / VANDALISM,1909050066980,6500 BLOCK NW 2ND AV,Miami Police,9-5-2019 9:42 AM
ASSAULT,PD190905318215,3100 BLOCK NW 75TH ST,Miami-Dade Police,9-5-2019 9:40 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050066979,500 BLOCK NE 79TH ST,Miami Police,9-5-2019 9:34 AM
CRIMINAL MISCHIEF / VANDALISM,1909050066966,900 BLOCK BRICKELL AV,Miami Police,9-5-2019 9:12 AM
BATTERY / DOMESTIC,1909050066972,1200 BLOCK SW 8TH ST,Miami Police,9-5-2019 9:07 AM
VEHICLE BREAK-IN/THEFT,PD190905318300,1900 BLOCK NW 47TH ST,Miami-Dade Police,9-5-2019 9:00 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050066964,1400 BLOCK NW 36TH ST,Miami Police,9-5-2019 8:37 AM
THEFT - FROM MOTOR VEHICLE,1909050066956,1400 BLOCK NW 54TH ST,Miami Police,9-5-2019 8:04 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050066946,6700 BLOCK N MIAMI AV,Miami Police,9-5-2019 7:18 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050066937,0 BLOCK NE 65TH ST,Miami Police,9-5-2019 6:45 AM
ROBBERY - ARMED,1909050066925,NW 3RD AV / NW 44TH ST,Miami Police,9-5-2019 5:29 AM
THEFT - ALL OTHER,1909050066911,1700 BLOCK NE 2ND AV,Miami Police,9-5-2019 3:33 AM
BURGLARY,PD190905318002,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-5-2019 3:27 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909050066910,5500 BLOCK NW 5TH CT,Miami Police,9-5-2019 2:47 AM
UTTERING FORGED BILLS/COUNTERFEIT NOTE/PROMISSORY NOTE: INTENT TO DEFRAUD,1909050066899,700 BLOCK NW 37TH AV,Miami Police,9-5-2019 2:18 AM
BATTERY / SIMPLE,1909050066898,1700 BLOCK NE 2ND AVE,Miami Police,9-5-2019 2:00 AM
BATTERY / AGG: USES DEADLY WEAPON,1909050066896,0 BLOCK NW 34TH ST,Miami Police,9-5-2019 1:42 AM
CRIMINAL MISCHIEF / VANDALISM,1909050066889,2600 BLOCK NW 5TH AV,Miami Police,9-5-2019 1:02 AM
BURGLARY - RESIDENCE,1909050066891,200 BLOCK SW 19TH AV,Miami Police,9-5-2019 12:54 AM
ASSAULT,PD190905317942,1300 BLOCK NW 79TH ST,Miami-Dade Police,9-5-2019 12:50 AM
VANDALISM,PD190905319195,7000 BLOCK NW 41ST ST,Miami-Dade Police,9-5-2019 12:45 AM
FRAUD,PD190916332342,1800 BLOCK SW 69TH AVE,Miami-Dade Police,9-5-2019 12:00 AM
SIMPLE BATTERY,1909050066882,1400 BLOCK NW 32ND ST,Miami Police,9-4-2019 11:58 PM
BURGLARY - RESIDENCE,1909050066885,200 BLOCK NW 15TH AV,Miami Police,9-4-2019 11:43 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066869,NE 2ND AV / NE 34TH ST,Miami Police,9-4-2019 10:50 PM
BATTERY / DOMESTIC,1909040066873,2600 BLOCK SW 3RD ST,Miami Police,9-4-2019 10:48 PM
BURGLARY / CURTILAGE OF ANY OTHER STRUCTURE - THEFT OF $300 OR GREATER,1909040066870,0 BLOCK SW 64TH AV,Miami Police,9-4-2019 10:39 PM
ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,1909040066862,NW 3RD AVE & NW 10 ST,Miami Police,9-4-2019 10:16 PM
CRIMINAL MISCHIEF / VANDALISM,1909040066860,100 BLOCK SW 8TH AV,Miami Police,9-4-2019 10:13 PM
THEFT - FROM MOTOR VEHICLE,1909040066857,4100 BLOCK NE 2ND AV,Miami Police,9-4-2019 10:06 PM
DRUGS/ALCOHOL VIOLATIONS,PD190904317823,7000 BLOCK NW 41ST ST,Miami-Dade Police,9-4-2019 9:56 PM
ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,1909040066861,5000 BLOCK BISCAYNE BLVD,Miami Police,9-4-2019 9:20 PM
ARSON / ANY DWELLING OR ITS CONTENTS / OCCUPIED OR NOT,1909040066849,1500 BLOCK NW 68TH TER,Miami Police,9-4-2019 9:19 PM
BATTERY / SIMPLE,1909040066852,600 BLOCK NW 62ND ST,Miami Police,9-4-2019 9:03 PM
MOTOR VEHICLE THEFT,PD190905318119,6600 BLOCK NW 7TH ST,Miami-Dade Police,9-4-2019 9:00 PM
PETIT THEFT - MOTOR VEH PARTS/ACCESSORIES,1909040066838,3300 BLOCK NW 14TH TER,Miami Police,9-4-2019 8:48 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066850,NE 4TH ST / BISCAYNE BLVD,Miami Police,9-4-2019 8:27 PM
ASSAULT,PD190904317726,8200 BLOCK NW 13TH CT,Miami-Dade Police,9-4-2019 8:13 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066832,N MIAMI AV / NE 39TH ST,Miami Police,9-4-2019 7:47 PM
PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF 20 GMS OR LESS CANNABIS,1909040066821,100 BLOCK NE 59TH ST,Miami Police,9-4-2019 7:35 PM
ASSAULT,PD190904317662,2000 BLOCK NW 87TH ST,Miami-Dade Police,9-4-2019 7:25 PM
DRUGS/ALCOHOL VIOLATIONS,PD190904317666,4400 BLOCK SW 8TH ST,Miami-Dade Police,9-4-2019 7:15 PM
DRUGS/ALCOHOL VIOLATIONS,PD190904317672,NW 44TH AVE & NW 5TH ST,Miami-Dade Police,9-4-2019 7:00 PM
VEHICLE BREAK-IN/THEFT,PD190905318166,2100 BLOCK NW 69TH ST,Miami-Dade Police,9-4-2019 7:00 PM
SIMPLE BATTERY,1909040066814,1100 BLOCK NW 3RD ST,Miami Police,9-4-2019 6:50 PM
SIMPLE BATTERY,1909040066822,SW 8TH ST / SW 9TH AV,Miami Police,9-4-2019 6:48 PM
VEHICLE BREAK-IN/THEFT,PD190905318121,6600 BLOCK NW 7TH ST,Miami-Dade Police,9-4-2019 6:30 PM
RETAIL THEFT,1909040066808,3400 BLOCK N MIAMI AV,Miami Police,9-4-2019 6:04 PM
BURGLARY / CURTILAGE OF DWELLING - THEFT OF $300 OR GREATER,1909040066807,800 BLOCK NW 67TH ST,Miami Police,9-4-2019 6:02 PM
BURGLARY,PD190905318091,3200 BLOCK NW 30TH ST,Miami-Dade Police,9-4-2019 6:00 PM
VEHICLE BREAK-IN/THEFT,PD190905318321,6600 BLOCK NW 7TH ST,Miami-Dade Police,9-4-2019 6:00 PM
THEFT - OF MOTOR VEHICLE PARTS,1909040066803,1200 BLOCK NW 29TH AV,Miami Police,9-4-2019 5:31 PM
CRIMINAL MISCHIEF / VANDALISM,1909040066802,6600 BLOCK NW 2ND AV,Miami Police,9-4-2019 5:24 PM
PETIT THEFT - WITH 2 PREVIOUS THEFT CONVICTIONS,1909040066801,2700 BLOCK W FLAGLER ST,Miami Police,9-4-2019 5:20 PM
PETIT THEFT - RETAIL / LESS THAN $100,1909040066801,2700 BLOCK W FLAGLER ST,Miami Police,9-4-2019 5:20 PM
SIMPLE ASSAULT,1909040066787,1000 BLOCK SW 4TH AV,Miami Police,9-4-2019 5:05 PM
THEFT/LARCENY,PD190904317619,2000 BLOCK NW 54TH ST,Miami-Dade Police,9-4-2019 5:00 PM
SIMPLE BATTERY,1909040066778,3100 BLOCK NW 22ND AV,Miami Police,9-4-2019 4:36 PM
THEFT - OF MOTOR VEHICLE PARTS,1909040066788,700 BLOCK NW 69TH ST,Miami Police,9-4-2019 4:34 PM
THEFT - FROM MOTOR VEHICLE,1909040066784,1200 BLOCK NW 21ST ST,Miami Police,9-4-2019 4:29 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066781,3300 BLOCK BISCAYNE BLVD,Miami Police,9-4-2019 4:24 PM
THEFT/LARCENY,PD190904317408,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-4-2019 4:12 PM
MOTOR VEHICLE THEFT,PD190904317527,4700 BLOCK NW 24TH AVE,Miami-Dade Police,9-4-2019 4:09 PM
THEFT/LARCENY,PD190905318044,500 BLOCK NW 72ND AVE,Miami-Dade Police,9-4-2019 4:00 PM
THEFT - FROM MOTOR VEHICLE,1909040066765,1100 BLOCK SW 2ND ST,Miami Police,9-4-2019 3:44 PM
CRIMINAL MISCHIEF / VANDALISM,1909040066770,5100 BLOCK BISCAYNE BLVD,Miami Police,9-4-2019 3:43 PM
THEFT - FROM MOTOR VEHICLE,1909040066753,800 BLOCK NW 17TH PL,Miami Police,9-4-2019 3:36 PM
THEFT - ALL OTHER,1909040066771,W FLAGLER ST / NW 27TH AV,Miami Police,9-4-2019 3:34 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909040066774,200 BLOCK NE 14TH ST,Miami Police,9-4-2019 3:09 PM
BURGLARY / STRUCTURE OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1909040066766,1400 BLOCK NE MIAMI PL,Miami Police,9-4-2019 3:06 PM
BURGLARY,PD190904317373,8300 BLOCK NW 2ND AVE,Miami-Dade Police,9-4-2019 3:01 PM
OVERDUE RENTAL,1909040066750,3300 BLOCK SW 22ND ST,Miami Police,9-4-2019 2:18 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066752,400 BLOCK NW 43RD PL,Miami Police,9-4-2019 2:02 PM
GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1909040066722,0 BLOCK NE 40TH ST,Miami Police,9-4-2019 2:02 PM
THEFT - OF MOTOR VEHICLE PARTS,1909040066746,0 BLOCK SE 2ND ST,Miami Police,9-4-2019 2:01 PM
ASSAULT,PD190904317275,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-4-2019 2:00 PM
THEFT - OF MOTOR VEHICLE PARTS,1909040066719,5900 BLOCK NW 2ND AV,Miami Police,9-4-2019 1:38 PM
BANK FRAUD- KNOWINGLY (OR ATT.) TO EXECUTE A SCHEME TO DEFRAUD FINANCIAL INST.,1909040066715,700 BLOCK NW 42ND AV,Miami Police,9-4-2019 1:36 PM
MANUFACTURE OR DELIVERY OF DRUG PARAPHERNALIA,1909040066709,NE 13TH ST / NE 1ST AVE,Miami Police,9-4-2019 1:24 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066718,NE MIAMI CT / NE 19TH TER,Miami Police,9-4-2019 1:20 PM
RETAIL THEFT,1909040066714,2600 BLOCK SW 22ND ST,Miami Police,9-4-2019 1:12 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066742,200 BLOCK NW 40TH AV,Miami Police,9-4-2019 1:11 PM
AGGRAVATED BATTERY,1909040066717,200 BLOCK NW 59TH TER,Miami Police,9-4-2019 1:11 PM
THEFT - FROM MOTOR VEHICLE,1909040066706,1700 BLOCK SW 32ND CT,Miami Police,9-4-2019 1:04 PM
CRIMINAL MISCHIEF / VANDALISM,1909040066720,NE MIAMI CT & NE 19TH TER,Miami Police,9-4-2019 12:45 PM
VEHICLE BREAK-IN/THEFT,PD190905318174,500 BLOCK NW 85TH ST RD,Miami-Dade Police,9-4-2019 12:20 PM
CRIMINAL MISCHIEF / VANDALISM,1909040066703,4400 BLOCK NW 7TH AV,Miami Police,9-4-2019 12:14 PM
BURGLARY,PD190904317340,3100 BLOCK NW 54TH ST,Miami-Dade Police,9-4-2019 12:11 PM
THEFT - OF MOTOR VEHICLE PARTS,1909040066696,1600 BLOCK NW 9TH ST,Miami Police,9-4-2019 12:00 PM
RETAIL THEFT,1909040066692,900 BLOCK SW 8TH ST,Miami Police,9-4-2019 11:37 AM
THEFT/LARCENY,PD190904317097,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-4-2019 11:31 AM
THEFT/LARCENY,PD190904317036,6300 BLOCK NW 32ND AVE,Miami-Dade Police,9-4-2019 11:26 AM
THEFT - ALL OTHER,1909040066693,6700 BLOCK W FLAGLER ST,Miami Police,9-4-2019 11:26 AM
RETAIL THEFT,1909040066688,4800 BLOCK BISCAYNE BLVD,Miami Police,9-4-2019 11:12 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066673,NE 1ST AV / NE 16TH ST,Miami Police,9-4-2019 11:07 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066673,NE 1ST AV / NE 16TH ST,Miami Police,9-4-2019 11:07 AM
BURGLARY - RESIDENCE,1909040066681,1300 BLOCK SW 14TH ST,Miami Police,9-4-2019 11:07 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066672,1700 BLOCK SW 4TH ST,Miami Police,9-4-2019 10:48 AM
FRAUDULENT USE OF CREDIT CARDS / MORE THAN 2 TIMES IN 6 MOS OR $100 OR MORE,1909040066671,800 BLOCK N MIAMI AV,Miami Police,9-4-2019 10:11 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066679,300 BLOCK NE 21ST ST,Miami Police,9-4-2019 10:10 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909040066675,5400 BLOCK NW 6TH AV,Miami Police,9-4-2019 9:57 AM
AUTO THEFT,1909040066662,900 BLOCK NW 24TH AV,Miami Police,9-4-2019 9:36 AM
GRAND THEFT - FROM BUILDING WITH PUBLIC ACCESS - $300 TO LESS THN $5000,1909040066663,200 BLOCK NE 71ST ST,Miami Police,9-4-2019 9:27 AM
THEFT - OF MOTOR VEHICLE PARTS,1909040066643,1100 BLOCK S MIAMI AV,Miami Police,9-4-2019 9:08 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066667,1300 BLOCK NW 43RD ST,Miami Police,9-4-2019 8:57 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066648,3000 BLOCK SW 13TH ST,Miami Police,9-4-2019 8:54 AM
THEFT - ALL OTHER,1909040066638,1100 BLOCK NW 67TH ST,Miami Police,9-4-2019 8:27 AM
BURGLARY - OTHER STRUCTURE,1909040066637,4500 BLOCK NW 12TH AV,Miami Police,9-4-2019 8:24 AM
AUTO THEFT,1909040066632,1200 BLOCK NW 3RD ST,Miami Police,9-4-2019 7:26 AM
CRIMINAL MISCHIEF / VANDALISM,1909040066629,3000 BLOCK SW 5TH ST,Miami Police,9-4-2019 6:43 AM
THEFT/LARCENY,PD190904317321,3500 BLOCK NW 35TH ST,Miami-Dade Police,9-4-2019 5:59 AM
BURGLARY - OTHER STRUCTURE,1909040066627,400 BLOCK NW 26TH ST,Miami Police,9-4-2019 5:51 AM
BURGLARY - OTHER STRUCTURE,1909040066627,400 BLOCK NW 26TH ST,Miami Police,9-4-2019 5:51 AM
ASSAULT,PD190904316718,5000 BLOCK NW 26TH AVE,Miami-Dade Police,9-4-2019 5:25 AM
PETIT THEFT - RETAIL / $100 TO LESS THAN $300,1909040066625,3100 BLOCK BISCAYNE BLVD,Miami Police,9-4-2019 4:13 AM
VANDALISM,PD190904316698,400 BLOCK NW 84TH TER,Miami-Dade Police,9-4-2019 4:00 AM
ASSAULT,PD190904316643,700 BLOCK NW 80TH ST,Miami-Dade Police,9-4-2019 1:45 AM
BURGLARY / STRUCTURE - CAUSES DAMAGE IN EXCESS OF $1000.00,1909040066607,8200 BLOCK NE 2ND AV,Miami Police,9-4-2019 1:35 AM
POSSESSION OF A FIREARM OR CONCEALED WEAPON BY A CONVICTED OR DELINQUENT FELON,1909040066606,NW 2ND AV / NW 15TH ST,Miami Police,9-4-2019 1:24 AM
CRIMINAL MISCHIEF / VANDALISM,1909040066605,3600 BLOCK NW 20TH AV,Miami Police,9-4-2019 1:17 AM
CRIMINAL MISCHIEF / VANDALISM,1909040066604,800 BLOCK NW 58TH ST,Miami Police,9-4-2019 1:08 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909040066603,100 BLOCK SW 6TH AV,Miami Police,9-4-2019 12:11 AM
THEFT/LARCENY,PD190903316586,2500 BLOCK NW 74TH ST,Miami-Dade Police,9-3-2019 11:40 PM
BATTERY / DOMESTIC,1909040066601,200 BLOCK NE 14TH ST,Miami Police,9-3-2019 11:19 PM
THEFT - FROM MOTOR VEHICLE,1909030066598,200 BLOCK NW 72ND TER,Miami Police,9-3-2019 11:17 PM
BATTERY / SIMPLE,1909030066594,NE 3RD ST / BISCAYNE BLVD,Miami Police,9-3-2019 11:08 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909030066595,400 BLOCK NW 30TH ST,Miami Police,9-3-2019 11:05 PM
VEHICLE BREAK-IN/THEFT,PD190904316593,NW 32ND AVE & NW 79TH ST,Miami-Dade Police,9-3-2019 10:30 PM
THEFT - OF MOTOR VEHICLE PARTS,1909030066587,100 BLOCK SW 13TH ST,Miami Police,9-3-2019 10:19 PM
VEHICLE BREAK-IN/THEFT,PD190904316705,2100 BLOCK NW 57TH ST,Miami-Dade Police,9-3-2019 10:00 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909030066586,0 BLOCK SE 5TH ST,Miami Police,9-3-2019 9:57 PM
PETIT THEFT - RETAIL / $100 TO LESS THAN $300,1909030066569,2700 BLOCK W FLAGLER ST,Miami Police,9-3-2019 9:08 PM
PETIT THEFT - WITH 2 PREVIOUS THEFT CONVICTIONS,1909030066569,2700 BLOCK W FLAGLER ST,Miami Police,9-3-2019 9:08 PM
RETAIL THEFT,1909030066570,2700 BLOCK W FLAGLER ST,Miami Police,9-3-2019 8:30 PM
THEFT OF BICYCLE,1909030066580,600 BLOCK NW 62ND ST,Miami Police,9-3-2019 8:30 PM
CRIMINAL MISCHIEF / VANDALISM,1909030066571,300 BLOCK NW 3RD ST,Miami Police,9-3-2019 8:23 PM
THEFT OF BICYCLE,1909030066561,2900 BLOCK BISCAYNE BLVD,Miami Police,9-3-2019 8:10 PM
THEFT - ALL OTHER,1909030066559,1200 BLOCK NW 60TH ST,Miami Police,9-3-2019 8:04 PM
THEFT/LARCENY,PD190904317223,5800 BLOCK NW 27TH AVE,Miami-Dade Police,9-3-2019 8:00 PM
ROBBERY,PD190903316403,8100 BLOCK NW 12TH PL,Miami-Dade Police,9-3-2019 7:48 PM
THEFT - FROM MOTOR VEHICLE,1909030066551,900 BLOCK NW 26TH AV,Miami Police,9-3-2019 7:36 PM
BATTERY / DOMESTIC,1909030066555,200 BLOCK NE 2ND ST,Miami Police,9-3-2019 7:21 PM
PETIT THEFT,1909030066545,3400 BLOCK N MIAMI AV,Miami Police,9-3-2019 7:16 PM
ASSAULT,PD190903316350,6600 BLOCK NW 26TH AVE,Miami-Dade Police,9-3-2019 7:04 PM
THEFT - OF MOTOR VEHICLE PARTS,1909030066539,5800 BLOCK NW 1ST AV,Miami Police,9-3-2019 6:57 PM
PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF COCAINE (POWDER OR CRACK),1909030066535,2700 BLOCK NW SOUTH RIVER DR,Miami Police,9-3-2019 6:38 PM
BATTERY / SIMPLE,1909030066541,1700 BLOCK NW 42ND ST,Miami Police,9-3-2019 6:37 PM
CRIMINAL MISCHIEF / VANDALISM,1909030066536,100 BLOCK NW 71ST ST,Miami Police,9-3-2019 6:25 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909030066533,1800 BLOCK NW 55TH TER,Miami Police,9-3-2019 6:09 PM
AUTO THEFT,1909030066542,3400 BLOCK N MIAMI AV,Miami Police,9-3-2019 6:07 PM
BURGLARY - RESIDENCE,1909030066529,700 BLOCK NE 61ST ST,Miami Police,9-3-2019 6:01 PM
VEHICLE BREAK-IN/THEFT,PD190903316303,6600 BLOCK NW 7TH ST,Miami-Dade Police,9-3-2019 6:00 PM
BURGLARY - RESIDENCE,1909030066534,200 BLOCK NW 31ST ST,Miami Police,9-3-2019 5:56 PM
