,Description,Incident#,Location,Agency,Date,location,New
341,SIMPLE ASSAULT,1909070067554,1100 BLOCK BRICKELL BAY DR,Miami Police,9-7-2019 12:03 PM,"[-80.2219551, 25.8119156]",25.8354273
342,BURGLARY - OTHER STRUCTURE,1909070067559,0 BLOCK SW 11TH ST,Miami Police,9-7-2019 12:01 PM,"[-80.222054, 25.794505]",25.8354273
343,AUTO THEFT,1909070067546,2700 BLOCK NW 1ST AVE,Miami Police,9-7-2019 12:00 PM,"[-80.2588799, 25.7709632]",25.8354273
344,FRAUD,PD190911325966,2500 BLOCK NW 74TH AVE,Miami-Dade Police,9-7-2019 12:00 PM,"[-80.2329434, 25.828706]",25.8354273
345,THEFT/LARCENY,PD190909323139,1100 BLOCK NW 81ST ST,Miami-Dade Police,9-7-2019 12:00 PM,"[-80.232637, 25.8212067]",25.8354273
346,BURGLARY / CURTILAGE OF DWELLING - THEFT OF $300 OR GREATER,1909070067548,1700 BLOCK NW 30TH ST,Miami Police,9-7-2019 11:57 AM,"[-80.192464, 25.818597]",25.8354273
347,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067538,1000 BLOCK SW 13TH ST,Miami Police,9-7-2019 11:51 AM,"[-80.2478383, 25.8443363]",25.8354273
348,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067545,4400 BLOCK W FLAGLER ST,Miami Police,9-7-2019 11:50 AM,"[-80.20932069999999, 25.8450075]",25.8354273
349,CRIMINAL MISCHIEF / VANDALISM,1909070067539,400 BLOCK NW 59TH TER,Miami Police,9-7-2019 11:42 AM,"[-80.2579458, 25.842013]",25.8354273
350,THEFT/LARCENY,PD190909323354,5600 BLOCK NW 32ND AVE,Miami-Dade Police,9-7-2019 11:34 AM,"[-80.1925877, 25.8421261]",25.8354273
351,CRIMINAL MISCHIEF / VANDALISM,1909070067536,400 BLOCK NW 59TH ST,Miami Police,9-7-2019 11:24 AM,"[-80.20578859999999, 25.8268351]",25.8354273
352,THEFT - SHOPLIFTING,1909070067537,3400 BLOCK N MIAMI AV,Miami Police,9-7-2019 11:24 AM,"[-80.2212541, 25.794816]",25.8354273
353,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1909070067534,3200 BLOCK NE 1ST AV,Miami Police,9-7-2019 11:15 AM,"[-80.1868527, 25.8277737]",25.8354273
354,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067550,800 BLOCK NW 32ND PL,Miami Police,9-7-2019 11:14 AM,"[-80.2504831, 25.7497751]",25.8354273
355,THEFT - ALL OTHER,1909070067549,1900 BLOCK NW SOUTH RIVER DR,Miami Police,9-7-2019 11:09 AM,"[-80.21035549999999, 25.786744]",25.8354273
356,MOTOR VEHICLE THEFT,PD190909323189,7300 BLOCK SW 8TH ST,Miami-Dade Police,9-7-2019 11:00 AM,"[-80.25576339999999, 25.7716529]",25.8354273
357,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067535,3000 BLOCK NW 11TH ST,Miami Police,9-7-2019 10:56 AM,"[-80.3044443, 25.7714402]",25.8354273
358,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067535,3000 BLOCK NW 11TH ST,Miami Police,9-7-2019 10:56 AM,"[-80.2423037, 25.8498439]",25.8354273
359,BATTERY / DOMESTIC,1909070067530,900 BLOCK NW 5TH ST,Miami Police,9-7-2019 10:39 AM,"[-80.193219, 25.81319]",25.8354273
360,ROBBERY - ARMED,1909070067527,800 BLOCK SW 8TH ST,Miami Police,9-7-2019 10:06 AM,"[-80.208124, 25.789789]",25.8354273
361,RETAIL THEFT,1909070067526,1000 BLOCK NE 79TH ST,Miami Police,9-7-2019 10:04 AM,"[-80.2400424, 25.8016667]",25.8354273
362,SIMPLE ASSAULT,1909070067522,1300 BLOCK NW 10TH AV,Miami Police,9-7-2019 9:25 AM,"[-80.2389929, 25.7573928]",25.8354273
363,THEFT - ALL OTHER,1909070067519,1500 BLOCK BRICKELL AV,Miami Police,9-7-2019 9:21 AM,"[-80.2431019, 25.7650536]",25.8354273
364,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067515,1100 BLOCK NW 7TH AV,Miami Police,9-7-2019 9:00 AM,"[-80.19546140000001, 25.8082999]",25.8354273
365,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067518,600 BLOCK NE 74TH ST,Miami Police,9-7-2019 8:44 AM,"[-80.1900622, 25.7599403]",25.8354273
366,THEFT OF BICYCLE,1909070067511,200 BLOCK SW 11TH ST,Miami Police,9-7-2019 8:37 AM,"[-80.19048509999999, 25.763073]",25.8354273
367,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067513,3000 BLOCK NW 11TH ST,Miami Police,9-7-2019 8:28 AM,"[-80.2244703, 25.7632066]",25.8354273
368,ASSAULT,PD190907320803,3000 BLOCK NW 62ND ST,Miami-Dade Police,9-7-2019 8:10 AM,"[-80.1971347, 25.802224]",25.8354273
369,AGGRAVATED BATTERY,1909070067507,1900 BLOCK NW 29TH ST,Miami Police,9-7-2019 8:09 AM,"[-80.3173936, 25.7982738]",25.8354273
370,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909070067506,2300 BLOCK NW 33RD ST,Miami Police,9-7-2019 8:03 AM,"[-80.214884, 25.8487209]",25.8354273
371,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1909070067499,3500 BLOCK SW 22ND ST,Miami Police,9-7-2019 6:37 AM,"[-80.2236836, 25.8043797]",25.8354273
372,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067497,6200 BLOCK NW 3RD AV,Miami Police,9-7-2019 6:13 AM,"[-80.2114702, 25.7607428]",25.8354273
373,"CAVE VANDALISM / ANY LOCK, GATE, DOOR OR OTHER OBSTRUCTION",1909070067495,0 BLOCK SE 7TH ST,Miami Police,9-7-2019 5:27 AM,"[-80.2676943, 25.7715757]",25.8354273
374,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067493,900 BLOCK NW 32ND CT,Miami Police,9-7-2019 5:22 AM,"[-80.2032838, 25.8293022]",25.8354273
375,MOTOR VEHICLE THEFT,PD190907321077,2100 BLOCK NW 74TH ST,Miami-Dade Police,9-7-2019 5:00 AM,"[-80.2497308, 25.8254835]",25.8354273
376,BATTERY / DOMESTIC,1909070067488,400 BLOCK NW 9TH AV,Miami Police,9-7-2019 3:58 AM,"[-80.2789414, 25.7942988]",25.8354273
377,ARSON / ANY DWELLING OR ITS CONTENTS / OCCUPIED OR NOT,1909070067484,5800 BLOCK NW 7TH AV,Miami Police,9-7-2019 3:36 AM,"[-80.2032552, 25.8292538]",25.8354273
378,VANDALISM,PD190907320679,4700 BLOCK NW 31ST AVE,Miami-Dade Police,9-7-2019 3:26 AM,"[-80.19546140000001, 25.8082999]",25.8354273
379,CRIMINAL MISCHIEF / VANDALISM,1909070067482,0 BLOCK SW 7TH ST,Miami Police,9-7-2019 2:48 AM,"[-80.19353869999999, 25.8074459]",25.8354273
380,ARSON,PD190907320648,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-7-2019 2:00 AM,"[-80.24940409999999, 25.7803758]",25.8354273
381,"FELONY BATTERY (CAUSES) GREAT BODILY HARM, PERM DISABILITY OR DISFIGUREMENT",1909070067476,400 BLOCK NW 8TH ST,Miami Police,9-7-2019 1:57 AM,"[-80.2263825, 25.7844955]",25.8354273
382,SIMPLE BATTERY,1909070067466,3200 BLOCK NW 18TH ST,Miami Police,9-7-2019 1:47 AM,"[-80.3142381, 25.7624852]",25.8354273
383,VANDALISM,PD190907320608,2900 BLOCK NW 43RD TER,Miami-Dade Police,9-7-2019 1:01 AM,"[-80.2870509, 25.7958723]",25.8354273
384,BURGLARY - RESIDENCE,1909070067464,700 BLOCK NW 2ND ST,Miami Police,9-7-2019 12:51 AM,"[-80.2440027, 25.7830388]",25.8354273
385,CRIMINAL MISCHIEF / VANDALISM,1909070067469,100 BLOCK NE 38TH ST,Miami Police,9-7-2019 12:51 AM,"[-80.2440027, 25.7830388]",25.8354273
386,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909070067461,700 BLOCK SW 8TH AV,Miami Police,9-7-2019 12:49 AM,"[-80.14241, 25.956064]",25.8354273
387,FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),1909070067456,400 BLOCK SW 10TH ST,Miami Police,9-7-2019 12:25 AM,"[-80.2097421, 25.7783582]",25.8354273
388,GRAND THEFT,1909070067468,400 BLOCK BRICKELL AV,Miami Police,9-7-2019 12:14 AM,"[-80.2076912, 25.7659086]",25.8354273
389,BURGLARY,PD190907321671,2200 BLOCK NW 37TH AVE,Miami-Dade Police,9-7-2019 12:01 AM,"[-80.176439, 25.8480777]",25.8354273
390,ASSAULT,PD190906320524,1700 BLOCK NW 76TH ST,Miami-Dade Police,9-6-2019 11:34 PM,"[-80.210968, 25.7865601]",25.8354273
391,THEFT - OF MOTOR VEHICLE PARTS,1909060067440,3100 BLOCK NW 2ND ST,Miami Police,9-6-2019 11:21 PM,"[-80.193437, 25.757996]",25.8354273
392,CRIMINAL MISCHIEF / VANDALISM,1909060067441,3200 BLOCK NW 7TH PL,Miami Police,9-6-2019 11:12 PM,"[-80.2067854, 25.7843689]",25.8354273
393,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067444,SW 1ST AV / SW 14TH ST,Miami Police,9-6-2019 10:41 PM,"[-80.1844527, 25.8432701]",25.8354273
394,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067434,4100 BLOCK NW 2ND AV,Miami Police,9-6-2019 10:40 PM,"[-80.1973281, 25.7634009]",25.8354273
395,BATTERY / SIMPLE,1909060067429,5800 BLOCK NW 7TH AVE,Miami Police,9-6-2019 9:43 PM,"[-80.2440027, 25.7830388]",25.8354273
396,PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF A CONTROLLED SUBSTANCE,1909070067452,6700 BLOCK W FLAGLER ST,Miami Police,9-6-2019 9:39 PM,"[-80.24543299999999, 25.830763]",25.8354273
397,ROBBERY/SUDDEN SNATCHING-UNARMED (ALL OTHER ITEMS $300),1909060067432,NW 1ST AV / NW 37TH ST,Miami Police,9-6-2019 9:37 PM,"[-80.2277214, 25.8029583]",25.8354273
398,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067420,5000 BLOCK BISCAYNE BLVD,Miami Police,9-6-2019 8:52 PM,"[-80.2342008, 25.8062981]",25.8354273
399,SIMPLE BATTERY,1909060067419,1200 BLOCK W FLAGLER ST,Miami Police,9-6-2019 8:48 PM,"[-80.2504831, 25.7497751]",25.8354273
400,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1909060067413,NW 17TH AV / NW 2ND ST,Miami Police,9-6-2019 8:31 PM,"[-80.2021922, 25.8325651]",25.8354273
401,ASSAULT,PD190906320354,3000 BLOCK NW 45TH ST,Miami-Dade Police,9-6-2019 8:30 PM,"[-80.1918891, 25.7673698]",25.8354273
402,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067409,5900 BLOCK NE 4TH AV,Miami Police,9-6-2019 8:02 PM,"[-80.2483151, 25.7812633]",25.8354273
403,"CRIMINAL MISCHIEF $1000, OR INTERRUPTION OF BUSINESS OR UTILITIES",1909060067383,100 BLOCK W FLAGLER ST,Miami Police,9-6-2019 8:00 PM,"[-80.231698, 25.8421326]",25.8354273
404,BATTERY / SIMPLE,1909060067408,1800 BLOCK NW 51ST ST,Miami Police,9-6-2019 7:54 PM,"[-80.2097565, 25.7776564]",25.8354273
405,THEFT/LARCENY,PD190907320822,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,9-6-2019 7:50 PM,"[-80.20864519999999, 25.8288843]",25.8354273
406,"UTTERING FORGED INST:UTTR AS TRUE, KNOWN FALSE WRITING/INTENT TO INJURE/DEFRAUD",1909060067393,1900 BLOCK N BAYSHORE DR,Miami Police,9-6-2019 6:49 PM,"[-80.24693140000001, 25.8173657]",25.8354273
407,ORGANIZED FRAUD: ENGAGES IN SCHEME - COMMUNICATES WITH VICTIM - $300 OR MORE,1909060067390,600 BLOCK SW 27TH AV,Miami Police,9-6-2019 6:37 PM,"[-80.22459289999999, 25.7664927]",25.8354273
408,FRAUD,PD190907321162,8000 BLOCK NW 27TH AVE,Miami-Dade Police,9-6-2019 6:32 PM,"[-80.1979976, 25.8496423]",25.8354273
409,CRIMINAL MISCHIEF / VANDALISM,1909060067388,1100 BLOCK SW 5TH ST,Miami Police,9-6-2019 6:07 PM,"[-80.2013077, 25.7816533]",25.8354273
410,RETAIL THEFT,1909060067385,5700 BLOCK W FLAGLER ST,Miami Police,9-6-2019 6:00 PM,"[-80.2478998, 25.7911089]",25.8354273
411,BURGLARY / DWELLING - CAUSES DAMAGE IN EXCESS OF $1000.00,1909060067400,0 BLOCK NE 79TH ST,Miami Police,9-6-2019 5:57 PM,"[-80.2430273, 25.8138772]",25.8354273
412,FRAUD,PD190907320945,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-6-2019 5:45 PM,"[-80.20635899999999, 25.7755559]",25.8354273
413,"THEFT OF CREDIT CARD LOST,MISLAID OR DELIVERED BY MISTAKE",1909060067370,1500 BLOCK N MIAMI AV,Miami Police,9-6-2019 5:35 PM,"[-80.19293139999999, 25.8116512]",25.8354273
414,ASSAULT / AGG,1909060067379,1900 BLOCK NW 3RD ST,Miami Police,9-6-2019 5:34 PM,"[-80.2074791, 25.7669698]",25.8354273
415,BANK FRAUD- KNOWINGLY (OR ATT.) TO EXECUTE A SCHEME TO DEFRAUD FINANCIAL INST.,1909060067363,1800 BLOCK W FLAGLER ST,Miami Police,9-6-2019 5:16 PM,"[-80.2009095, 25.7641112]",25.8354273
416,SIMPLE ASSAULT,1909060067364,0 BLOCK SW 3RD ST,Miami Police,9-6-2019 5:06 PM,"[-80.1901238, 25.7709339]",25.8354273
417,"BATTERY / AGG / DOMESTIC: VICTIM PREGNANT (MINOR, NO WEAPON OR NO INJURY - NO LOSS OF FETUS)",1909060067382,1300 BLOCK NW 59TH ST,Miami Police,9-6-2019 4:47 PM,"[-80.25616769999999, 25.7966368]",25.8354273
418,BURGLARY - OTHER STRUCTURE,1909060067371,500 BLOCK NW 36TH ST,Miami Police,9-6-2019 4:30 PM,"[-80.2259313, 25.8433597]",25.8354273
419,THEFT - OF MOTOR VEHICLE PARTS,1909060067355,300 BLOCK SW 12TH AV,Miami Police,9-6-2019 4:29 PM,"[-80.2459629, 25.7743793]",25.8354273
420,RETAIL THEFT,1909060067374,600 BLOCK NW 62ND ST,Miami Police,9-6-2019 4:24 PM,"[-80.2091639, 25.8063327]",25.8354273
421,SIMPLE BATTERY,1909060067351,1100 BLOCK NW 62ND ST,Miami Police,9-6-2019 4:13 PM,"[-80.1950751, 25.7605847]",25.8354273
422,FRAUD,PD190909323981,PORT OF MIAMI,Miami-Dade Police,9-6-2019 4:00 PM,"[-80.1995546, 25.8140372]",25.8354273
423,FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,1909060067356,200 BLOCK SE 2ND ST,Miami Police,9-6-2019 3:36 PM,,25.8354273
424,THEFT - ALL OTHER,1909060067329,1500 BLOCK N MIAMI AV,Miami Police,9-6-2019 3:23 PM,"[-80.20864519999999, 25.8288843]",25.8354273
425,ASSAULT,PD190906319958,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-6-2019 3:20 PM,"[-80.30435729999999, 25.7703362]",25.8354273
426,CRIMINAL MISCHIEF / VANDALISM,1909060067328,2100 BLOCK SW 8TH ST,Miami Police,9-6-2019 2:52 PM,"[-80.19742339999999, 25.8111165]",25.8354273
427,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1909060067323,1700 BLOCK BISCAYNE BLVD,Miami Police,9-6-2019 2:40 PM,"[-80.1878988, 25.8209838]",25.8354273
428,"UTTERING FORGED INST:UTTR AS TRUE, KNOWN FALSE WRITING/INTENT TO INJURE/DEFRAUD",1909060067327,1200 BLOCK SW 8TH ST,Miami Police,9-6-2019 2:03 PM,"[-80.21535, 25.7734956]",25.8354273
429,BURGLARY - RESIDENCE,1909060067313,1000 BLOCK NW 2ND ST,Miami Police,9-6-2019 2:01 PM,"[-80.2229916, 25.7752076]",25.8354273
430,VANDALISM,PD190912327254,7000 BLOCK NW 22ND AVE,Miami-Dade Police,9-6-2019 2:00 PM,"[-80.2445587, 25.8157532]",25.8354273
431,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067316,6400 BLOCK NE MIAMI CT,Miami Police,9-6-2019 1:48 PM,"[-80.18464209999999, 25.8308851]",25.8354273
432,ASSAULT,PD190906319798,3100 BLOCK NW 79TH ST,Miami-Dade Police,9-6-2019 1:10 PM,"[-80.1961336, 25.7738534]",25.8354273
433,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1909060067295,2300 BLOCK SW 7TH ST,Miami Police,9-6-2019 12:54 PM,"[-80.22665980000001, 25.8212396]",25.8354273
434,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067297,500 BLOCK NW 13TH AV,Miami Police,9-6-2019 12:46 PM,"[-80.1917902, 25.7616798]",25.8354273
435,ASSAULT,PD190906319746,2100 BLOCK NW 49TH ST,Miami-Dade Police,9-6-2019 12:46 PM,"[-80.1869883, 25.7946878]",25.8354273
436,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067296,1600 BLOCK NE 2ND AV,Miami Police,9-6-2019 12:40 PM,"[-80.2389812, 25.766968]",25.8354273
437,THEFT - FROM MOTOR VEHICLE,1909060067290,0 BLOCK NW 37TH ST,Miami Police,9-6-2019 12:27 PM,"[-80.2418473, 25.8472753]",25.8354273
438,THEFT/LARCENY,PD190910325181,3300 BLOCK NW 70TH AVE,Miami-Dade Police,9-6-2019 12:00 PM,"[-80.2128216, 25.7687302]",25.8354273
439,OVERDUE RENTAL,1909060067285,5300 BLOCK NW 7TH AV,Miami Police,9-6-2019 11:58 AM,"[-80.2883583, 25.7705691]",25.8354273
440,OVERDUE RENTAL,1909060067285,5300 BLOCK NW 7TH AV,Miami Police,9-6-2019 11:58 AM,"[-80.1903518, 25.8478653]",25.8354273
441,RETAIL THEFT,1909060067283,7000 BLOCK NE 2ND AV,Miami Police,9-6-2019 11:31 AM,"[-80.2425681, 25.8479395]",25.8354273
442,BURGLARY - OTHER STRUCTURE,1909060067286,1300 BLOCK NW 1ST ST,Miami Police,9-6-2019 11:30 AM,"[-80.1946639, 25.7894467]",25.8354273
443,RETAIL THEFT,1909060067284,3400 BLOCK N MIAMI AV,Miami Police,9-6-2019 11:20 AM,"[-80.2270047, 25.7762707]",25.8354273
444,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067274,2900 BLOCK SW 8TH STREET,Miami Police,9-6-2019 11:13 AM,"[-80.2250949, 25.7725614]",25.8354273
445,THEFT - PICK POCKET,1909060067270,400 BLOCK BISCAYNE BLV,Miami Police,9-6-2019 11:05 AM,"[-80.2226786, 25.7703546]",25.8354273
446,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1909060067276,2700 BLOCK W FLAGLER ST,Miami Police,9-6-2019 10:53 AM,"[-80.21883129999999, 25.8295848]",25.8354273
447,GRAND THEFT OF THE THIRD DEGREE AND A FELONY OF THE THIRD DEGREE,1909060067276,2700 BLOCK W FLAGLER ST,Miami Police,9-6-2019 10:53 AM,"[-80.2044615, 25.8098469]",25.8354273
448,FRAUDULENTLY USING PERSONEL IDENTIFICATION,1909060067268,600 BLOCK NW 6TH ST,Miami Police,9-6-2019 10:42 AM,"[-80.215358, 25.770077]",25.8354273
449,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067275,1500 BLOCK NW 22ND ST,Miami Police,9-6-2019 10:34 AM,"[-80.2066438, 25.8321523]",25.8354273
450,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067272,200 BLOCK SE 2ND AV,Miami Police,9-6-2019 10:29 AM,"[-80.21465640000001, 25.831854]",25.8354273
451,VEHICLE BREAK-IN/THEFT,PD190906319732,800 BLOCK NW 79TH ST,Miami-Dade Police,9-6-2019 10:28 AM,"[-80.1708802, 25.7745435]",25.8354273
452,FRAUDULENTLY USING PERSONEL IDENTIFICATION,1909060067262,8000 BLOCK NE 10TH AV,Miami Police,9-6-2019 10:13 AM,"[-80.19081829999999, 25.7724699]",25.8354273
453,THEFT/LARCENY,PD190906320143,3000 BLOCK NW 66TH ST,Miami-Dade Police,9-6-2019 10:00 AM,"[-80.1946639, 25.7894467]",25.8354273
454,BATTERY / SIMPLE,1909060067256,800 BLOCK SW 13TH AV,Miami Police,9-6-2019 9:30 AM,"[-80.1979976, 25.8496423]",25.8354273
455,PETIT THEFT - RETAIL / LESS THAN $100,1909060067261,1200 BLOCK SW 8TH ST,Miami Police,9-6-2019 9:29 AM,"[-80.1917902, 25.7616798]",25.8354273
456,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067255,1100 BLOCK BRICKELL BAY DR,Miami Police,9-6-2019 8:46 AM,"[-80.229383, 25.765078]",25.8354273
457,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067255,1100 BLOCK BRICKELL BAY DR,Miami Police,9-6-2019 8:46 AM,"[-80.1892937, 25.7918031]",25.8354273
458,THEFT - FROM MOTOR VEHICLE,1909060067249,400 BLOCK SW 2ND ST,Miami Police,9-6-2019 8:36 AM,"[-80.2146482, 25.765664]",25.8354273
459,BURGLARY - OTHER STRUCTURE,1909060067252,600 BLOCK NW 79TH ST,Miami Police,9-6-2019 8:33 AM,"[-80.2115227, 25.7755674]",25.8354273
460,THEFT/LARCENY,PD190913328825,3000 BLOCK NW 78TH ST,Miami-Dade Police,9-6-2019 8:00 AM,"[-80.2870509, 25.7958723]",25.8354273
461,BURGLARY / CURTILAGE OF ANY OTHER STRUCTURE - THEFT OF $300 OR GREATER,1909060067242,1100 BLOCK BRICKELL BAY DR,Miami Police,9-6-2019 7:49 AM,"[-80.2333711, 25.8388882]",25.8354273
462,BURGLARY - OTHER STRUCTURE,1909060067242,1100 BLOCK BRICKELL BAY DR,Miami Police,9-6-2019 7:49 AM,"[-80.1959408, 25.834679]",25.8354273
463,THEFT - OF MOTOR VEHICLE PARTS,1909060067239,1800 BLOCK NW 34TH ST,Miami Police,9-6-2019 7:43 AM,"[-80.2483148, 25.8456456]",25.8354273
464,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067237,1500 BLOCK N MIAMI AV,Miami Police,9-6-2019 7:37 AM,"[-80.232749, 25.7662673]",25.8354273
465,DISCHARGE FIREARM IN PUBLIC,1909060067245,1600 BLOCK NW 61ST ST,Miami Police,9-6-2019 7:16 AM,"[-80.216454, 25.7783238]",25.8354273
466,THEFT - FROM MOTOR VEHICLE,1909060067233,4300 BLOCK NW 14TH AV,Miami Police,9-6-2019 6:41 AM,"[-80.2305111, 25.8198131]",25.8354273
467,ROBBERY - ARMED,1909060067229,NW 2ND AV / NW 75TH ST,Miami Police,9-6-2019 5:54 AM,"[-80.1909501, 25.7908174]",25.8354273
468,THEFT - OF MOTOR VEHICLE PARTS,1909060067225,2100 BLOCK NW 34TH ST,Miami Police,9-6-2019 5:32 AM,"[-80.22392409999999, 25.8102404]",25.8354273
469,CRIMINAL MISCHIEF / VANDALISM,1909060067217,700 BLOCK NW 36TH ST,Miami Police,9-6-2019 4:47 AM,"[-80.31074699999999, 25.7957254]",25.8354273
470,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909060067218,800 BLOCK NE 74TH ST,Miami Police,9-6-2019 4:37 AM,"[-80.2082748, 25.8242165]",25.8354273
471,ASSAULT,PD190906319314,900 BLOCK NW 81ST ST,Miami-Dade Police,9-6-2019 4:07 AM,"[-80.2082748, 25.8242165]",25.8354273
472,CRIMINAL MISCHIEF / VANDALISM,1909060067215,NE 11TH ST / NE 2ND AV,Miami Police,9-6-2019 3:09 AM,"[-80.1924773, 25.8394071]",25.8354273
473,ROBBERY,PD190906319305,100 BLOCK NW 1ST ST,Miami-Dade Police,9-6-2019 2:47 AM,"[-80.2163908, 25.7744538]",25.8354273
474,CRIMINAL MISCHIEF (OVER $200 LESS THAN $1000),1909060067213,100 BLOCK NW 23RD ST,Miami Police,9-6-2019 2:41 AM,"[-80.19546140000001, 25.8082999]",25.8354273
475,DUI - UNDER INFLUENCE OF ALCOHOL OR CHEMICAL SUBSTANCE: FACULTIES IMPAIRED,1909060067210,NW 37TH AV / NW 14TH ST,Miami Police,9-6-2019 2:06 AM,"[-80.2408761, 25.7651266]",25.8354273
476,DRUGS/ALCOHOL VIOLATIONS,PD190906319266,NW 79TH ST & NW 7TH AVE,Miami-Dade Police,9-6-2019 1:54 AM,"[-80.18892869999999, 25.7785955]",25.8354273
477,"ARSON / ALL OTHER STRUCTURES (INCL. VESSLE, VEHICLE, WATERCRAFT, AIRCRAFT)",1909060067211,100 BLOCK NE 26TH ST,Miami Police,9-6-2019 1:51 AM,"[-80.2394939, 25.771862]",25.8354273
478,POSSESSION OF COCAINE/ CONSTRUCTIVE POSSESSION,1909060067206,NW 1ST CT / NW 11TH ST,Miami Police,9-6-2019 1:41 AM,"[-80.2394939, 25.771862]",25.8354273
479,DRUGS/ALCOHOL VIOLATIONS,PD190906319272,NW 79TH ST & NW 7TH AVE,Miami-Dade Police,9-6-2019 1:20 AM,"[-80.2050716, 25.7788723]",25.8354273
480,ROBBERY - STRONG ARM,1909060067208,1100 BLOCK BISCAYNE BLVD,Miami Police,9-6-2019 1:16 AM,"[-80.22154379999999, 25.7972781]",25.8354273
481,AGGRAVATED BATTERY,1909060067207,2800 BLOCK NE 2ND AV,Miami Police,9-6-2019 1:09 AM,"[-80.19060139999999, 25.7722206]",25.8354273
482,BURGLARY - OTHER STRUCTURE,1909060067205,300 BLOCK NW 8TH AV,Miami Police,9-6-2019 12:47 AM,"[-80.2112051, 25.8467127]",25.8354273
483,CRIMINAL MISCHIEF / VANDALISM,1909060067197,NW 57TH AV / NW 7TH ST,Miami Police,9-6-2019 12:01 AM,"[-80.1764759, 25.848925]",25.8354273
484,VEHICLE BREAK-IN/THEFT,PD190906319327,700 BLOCK NW 79TH ST,Miami-Dade Police,9-6-2019 12:00 AM,"[-80.2455478, 25.83386]",25.8354273
485,THEFT/LARCENY,PD190912327441,7300 BLOCK CORPORATE CENTER DR,Miami-Dade Police,9-6-2019 12:00 AM,"[-80.2165141, 25.7657877]",25.8354273
486,VEHICLE BREAK-IN/THEFT,PD190906319617,700 BLOCK NW 79TH ST,Miami-Dade Police,9-5-2019 11:30 PM,"[-80.2146482, 25.765664]",25.8354273
487,THEFT/LARCENY,PD190906319353,3100 BLOCK NW 58TH ST,Miami-Dade Police,9-5-2019 11:00 PM,"[-80.19048509999999, 25.763073]",25.8354273
488,CRIMINAL MISCHIEF / VANDALISM,1909050067189,700 BLOCK NW 58TH ST,Miami Police,9-5-2019 10:57 PM,"[-80.19048509999999, 25.763073]",25.8354273
489,GRAND THEFT,1909050067185,400 BLOCK NE 18TH ST,Miami Police,9-5-2019 10:26 PM,"[-80.2011492, 25.7716533]",25.8354273
490,THEFT/LARCENY,PD190906319712,3100 BLOCK NW 79TH ST,Miami-Dade Police,9-5-2019 10:00 PM,"[-80.2071869, 25.84712]",25.8354273
491,THEFT - OF MOTOR VEHICLE PARTS,1909050067182,3300 BLOCK SW 22ND ST,Miami Police,9-5-2019 9:59 PM,"[-80.2457953, 25.8450508]",25.8354273
492,BURGLARY - RESIDENCE,1909050067166,3000 BLOCK SW 19TH ST,Miami Police,9-5-2019 9:37 PM,"[-80.19048509999999, 25.763073]",25.8354273
